full_address,lat,lon
"11 Fraser Street, Jesmond, 2299, Australia",-32.898308,151.6893077
"197 McQueen Street, Aberdeen, 2336, Australia",,
"11 Allworth Street, Merewether, 2291, Australia",-32.937879,151.7467146
"8 Spence Street, Dubbo, 2830, Australia",-32.2402793,148.5856802
"8 Cardiff Arms Avenue, Dubbo, 2830, Australia",-32.234302,148.642118
"19 Arthur Summons Street, Dubbo, 2830, Australia",-32.2369638,148.6422086
"1 Edward Windeyer Way, Raymond Terrace, 2324, Australia",-32.7659295,151.7662197
"413 Wheelers Lane, Dubbo, 2830, Australia",-32.254141,148.6296664
"44 Jack William Drive, Dubbo, 2830, Australia",-32.2360897,148.6468679
"23 Timgarlen Drive, Dubbo, 2830, Australia",,
"7 Margaret Crescent, Dubbo, 2830, Australia",-32.2724652,148.6175069
"76 Awabakal Drive, Fletcher, 2287, Australia",-32.8728903,151.6443603
"50 Seaside Drive, Fern Bay, 2295, Australia",,
"22 Transfield Avenue, Edgeworth, 2285, Australia",-32.9171385,151.6275292
"3 Pring Street, Warners Bay, 2282, Australia",-32.9721858,151.6511695
"26 Transfield Avenue, Edgeworth, 2285, Australia",-32.9171385,151.6275292
"6 Tindale Street, Muswellbrook, 2333, Australia",-32.2737441,150.8826497
"18 Transfield Avenue, Edgeworth, 2285, Australia",-32.9171385,151.6275292
"5 Kelman Drive, Cliftleigh, 2321, Australia",-32.7918281,151.5146039
"27 Cooinda Crescent, Dubbo, 2830, Australia",-32.2404843,148.590252
"20 Cobbity Avenue, Dubbo, 2830, Australia",-32.2636576,148.628126
"6 Bellbird Way, Dubbo, 2830, Australia",-32.2504236,148.5789311
"391 Freemans Drive, Cooranbong, 2265, Australia",-33.0510324,151.4707118
"49 Anzac Pd, Muswellbrook, 2333, Australia",,
"11 Anzac Pd, Muswellbrook, 2333, Australia",,
"1 Tamar Way, Muswellbrook, 2333, Australia",-32.2775949,150.8774008
"8 Gossimer Cl, Killarney Vale, 2261, Australia",-33.3688303,151.4569462
"12 Hamilton St, Tumbi Umbi, 2261, Australia",-33.3732535,151.4542123
"6 Pendant Pde, Killarney Vale, 2261, Australia",-33.3679891,151.4563122
"3 Chapel Crescent, Tumbi Umbi, 2261, Australia",,
"23 Main St, Killarney Vale, 2261, Australia",-33.3657262,151.4595187
"61 Websdale Drive, Dubbo, 2830, Australia",-32.2399183,148.6427173
"101 Howick Street, Bathurst, 2795, Australia",-33.4174913,149.5816947
"305 Darling Street, Dubbo, 2830, Australia",-32.2533309,148.6055569
"13 Thomas Smith Place, Dubbo, 2830, Australia",-32.2370076,148.6568848
"17 Lisbon Circuit, Orange, 2800, Australia",-33.2722879,149.0635743
"8 McIntosh Street, Orange, 2800, Australia",-33.2733817,149.0647264
"5 Juniper Place, Orange, 2800, Australia",-33.2950883,149.07234616840577
"239 Dalton Street, Orange, 2800, Australia",-33.279296,149.1244284
"171 Ophir Road, Orange, 2800, Australia",-33.2782152,149.1296446
"40 Wright Street, Broken Hill, 2880, Australia",-31.9596608,141.4459063
"14A Ralston Drive, Orange, 2800, Australia",-33.2448486,149.106349
"54 Moonstone Drive, Orange, 2800, Australia",-33.250119,149.1068312
"112 Kearneys Drive, Orange, 2800, Australia",-33.2650618,149.0932707
"171A Ophir Road, Orange, 2800, Australia",-33.2782152,149.1296446
"3 Lester Place, Abbotsford, 2046, Australia",-33.85403095,151.13092381129385
"76 Terry Street, Albion Park, 2527, Australia",-34.5807842,150.7778464
"45a The Express Way, Albion Park, 2527, Australia",,
